Nazwa,rodzaj,kategoria,opis,Turniej,Kupno,Wypożyczenie,Liczba uczestników
Jamniki,planszowa,familijna,"Podczas gry Twój jamnik będzie rósł, musisz więc ubierać go w coraz większy kubraczek. Staraj się, aby na kubraczku było jak najwięcej symboli kostek – zdobędziesz za nie punkty! Dodatkowe punkty dostaniesz za kolory kubraczka.",NIE,59.99,,
Czarne Historie,karciana,towarzyska,"Czarne historie to zestaw 50 elektryzujących, okropnych, a czasami makabrycznych opowieści, które faktycznie się wydarzyły albo… mogły się wydarzyć. Tak naprawdę jest to gra, w której gracze starają się rozwikłać zagadki, które zostają im przedstawione.",NIE,30.9,8,
Wsiąść do Pociągu: Europa,planszowa,familijna,"Wsiąść do Pociągu: Europa to gra familijna o wielkiej, kolejowej przygodzie. Uczestnicy zbierają karty przedstawiające wagony i używają ich by budować dworce, pokonywać tunele, wsiadać na promy i zajmować trasy kolejowe jak Europa długa i szeroka.",TAK,141.9,20,5
Cyklady: Monumenty,planszowa,strategiczna,"Wybierz się w podróż do archipelagu Cyklady w czasie złotego wieku antycznej Grecji. Rekrutuj oddziały, buduj okręty, wznoś fortece, konstruuj metropolie, wzywaj mitologiczne istoty i módl się o pomoc do Bogów Olimpu. Walka o doprowadzenie twojego ludu do największej chwały stanie się legendą.",NIE,38.2,22,
Terraformacja Marsa,planszowa,strategiczna,"Ludzkość rozpoczęła ekspansję w Układzie Słonecznym. Na Marsie założono już kilka niewielkich kolonii. Ich mieszkańcy są odgrodzeni od naturalnego środowiska straszliwie zimnej, suchej i niemal pozbawionej atmosfery planety.Zwiększenie odsetka imigracji z Ziemi wymaga terraformacji Marsa, czyli dostosowania jego środowiska, aby ludzie mogli w nim przeżyć bez sprzętu ochronnego i aby zminimalizować śmiertelność w wyniku drobnych wypadków.",TAK,133.99,22,5
One Piece Starter Deck ST06 Absolute Justice,karciana,kolekcjonerska,"Karty One Piece Card Game są idealnym wyborem dla fanów karcianek, ale także anime One Piece. Jeśli jesteś fanem serii, z pewnością docenisz wysoką jakość wykonania oraz wierność wobec postaci i wydarzeń z anime. Karty pozwalają na jeszcze głębsze zanurzenie się w świat One Piece oraz pozwolą na niesamowite doznania podczas gry.",TAK,90,,2
Flesh and Blood - Monarch Blitz,karciana,kolekcjonerska,"Flesh and Blood jest grą turową, w której dwaj gracze wybierają bohatera, bądź bohaterkę, po to, by w konwencji konsolowych bijatyk stoczyć ze sobą pojedynek. Każda z postaci posiada swoją klasę, czyli unikatowy styl walki reprezentowany przez dedykowane karty i mechaniki. Na początku, niczym w klasycznych grach fabularnych dobieramy naszej postaci zestaw ekwipunku i broni, niezbędnych dla efektywności pojedynku.",TAK,49,,2
Paszczaki,karciana,towarzyska,"Podczas gry wszyscy kolejno wykładamy na stół po jednej karcie. Jak złapać paszczaka? Musisz swoją kartę wyłożyć w taki sposób, aby na początku i na końcu rzędu kart znalazł się taki sam paszczak. Gdy to ci się uda, zdobędziesz wszystkie paszczaki z tego rzędu!",NIE,30.9,5,
Jungle Speed Eco,inna,towarzyska,"Odkrywaj symbole, patrz uważnie i jak najszybciej pozbądź się swoich kart! Jungle Speed to bezkonkurencyjna gra towarzyska, w której liczy się spostrzegawczość i szybkość reakcji.",TAK,60.9,,10
Monopoly Classic,planszowa,familijna,"Monopoly Standard to kultowa i znana na całym świecie gra dla młodzieży i dorosłych. Zostań właścicielem ulicy Marszałkowskiej, placu Trzech Krzyży lub Alei Jerozolimskich, postaw tam bajeczne hotele, które wzbogacą zarówno miasto i jak Twój portfel… Przenieś się na ulicę, na której zbijesz niebotyczny majątek.",TAK,115.9,,6
